typer	name	role1	role2	toc
general	General	Sports coach	Sportsperson	Talking about the training routine
general	General	Sports coach	Sportsperson	Being late for training
general	General	Sports coach	Sportsperson	Punishment for being late/undisciplined
general	General	Sports coach	Sportsperson	Motivating a depressed player
general	General	Sports coach	Sportsperson	Asking the coach what equipment is the best
general	General	Sports coach	Sportsperson	Coach talking about the performance
general	General	Stationary shop owner	Customer	What do you want?
general	General	Stationary shop owner	Customer	Discount
general	General	Stationary shop owner	Customer	Asking for a particular item your child is demanding
general	General	Stationary shop owner	Customer	Bill
general	General	Stationary shop owner	Customer	Quality of the stationary
general	General	Streetside stall owner	Customer	Old street food vendor
general	General	Streetside stall owner	Customer	Chaiwala outside University with student
general	General	Streetside stall owner	Customer	Road side dosa vendor gives menu toCustomer
general	General	Streetside stall owner	Customer	Vendor explaining why part of the menu was scrapped
general	General	Streetside stall owner	Customer	Vendor selling momos shares recipe
general	General	Student	Teacher	Discussion of subject choice in college
general	General	Student	Teacher	Teacher encouraging student to stand for student elections
general	General	Student	Teacher	Student approaches teacher for extension of deadline for a project
general	General	Student	Teacher	Teacher encourages student to attempt a competitive exam
general	General	Student	Teacher	Teacher speaks to student about poor attendance
general	General	Supervisor	Team Member	Discussing work goals and expectations
general	General	Surveyor	Surveyee	Nature of the survey
general	General	Surveyor	Surveyee	Details of the family members
general	General	Surveyor	Surveyee	Survey for polio vaccination
general	General	Surveyor	Surveyee	Economic survey
general	General	Surveyor	Surveyee	Annual/monthly company survey
general	General	Surveyor	Surveyee	Taking consent from the surveyee
general	General	Sweetmart owner	Customer	Inquiring about various sweet options available at the store
general	General	Sweetmart owner	Customer	Placing an order online for a Christmas party
general	General	Sweetmart owner	Customer	Inquiring about the various delivery options.
general	General	Sweetmart owner	Customer	Complaining about the quality of the donuts delivered to you
general	General	Sweetmart owner	Customer	Inquiring about international shipping
general	General	Tailor	Customer	Taking measurements for a suit
general	General	Tailor	Customer	Complaining about fitting of the shirt
general	General	Tailor	Customer	Discussing the prices
general	General	Tailor	Customer	Asking if the dress can be sewed urgently
general	General	Tailor	Customer	Altering the previously sewed dress
general	General	Tea/Coffee shop owner	Customer	Asking for the menu and varieties.
general	General	Tea/Coffee shop owner	Customer	Customer's instructions
general	General	Tea/Coffee shop owner	Customer	Complaining in College canteen
general	General	Tea/Coffee shop owner	Customer	A casual conversation
general	General	Tea/Coffee shop owner	Customer	Asking about the side dishes
general	General	Teacher	Parent	Parent – Teacher meeting after first unit test
general	General	Teacher	Parent	Parent Informing teacher about leave
general	General	Teacher	Parent	Teacher requesting parent to allow the child to stay for 40 minutes after class time
general	General	Teacher	Parent	sport teacher – Parent discussing about upcoming sports event
general	General	Teacher	Parent	Teacher calling parent to pick up child from school who is sick
general	General	Teacher	Student	Discussing a lesson or assignment
general	General	Teacher	Student	Preparing for a test
general	General	Teacher	Teacher	Instructions to first time invigilator
general	General	Teacher	Teacher	Preparation for Independence Day celebration
general	General	Teacher	Teacher	Impact of rain holidays on syllabus completion
general	General	Teacher	Teacher	Learning loss discussion due to covid
general	General	Teacher	Teacher	Discussion about particular student having difficulties
general	General	Telecom services shop owner	Customer (SIM Cards, Bill payments)	Applying for a new SIM card
general	General	Telecom services shop owner	Customer (SIM Cards, Bill payments)	New broadband internet connection.
general	General	Telecom services shop owner	Customer (SIM Cards, Bill payments)	Bill payments
general	General	Telecom services shop owner	Customer (SIM Cards, Bill payments)	3G to 4G conversion
general	General	Telecom services shop owner	Customer (SIM Cards, Bill payments)	Sim transfer
general	General	Tourist	Local	Discussing travel and local attractions
general	General	Tourist Guide	Tourist	Inquiring about Rajasthani cuisine
general	General	Tourist Guide	Tourist	Seeking information regarding street shopping in Delhi
general	General	Tourist Guide	Tourist	Inquiring about the adventure travel in Munnar
general	General	Tourist Guide	Tourist	Seeking information about the best hotels in Pondicherry
general	General	Tourist Guide	Tourist	Inquiring about the local souvenir shops
general	General	Traffic Police	Citizen	Inquiring about the driving licence
general	General	Traffic Police	Citizen	Complaing about over speeding biker/ breaking traffic signal
general	General	Traffic Police	Citizen	Complaining about dangerous driving by another vehicle driver
general	General	Traffic Police	Citizen	Inquiring about the Registration Certificate
general	General	Traffic Police	Citizen	Complaing about the missing bike
general	General	Translator/Editor	Client	What kind of translation you want?
general	General	Translator/Editor	Client	Price
general	General	Translator/Editor	Client	What kind of text for editing/translation
general	General	Translator/Editor	Client	How many years of experience
general	General	Translator/Editor	Client	What are your field of expertise?
general	General	Travel Agent	Business owner	Discussing corporate travel and group tours
general	General	Travel Agent	Solo traveler	Discussing travel preferences and solo travel tips
general	General	Travel Agent	Tourist	Planning a vacation
general	General	Travel Agent	Traveler	Discussing vacation destinations and plans
general	General	Truck or Bus driver	Customer	Customer Discussing about the truck fare.
general	General	Truck or Bus driver	Passenger	A traveller inquiry
general	General	Truck or Bus driver	Passenger	Passenger Complaining
general	General	Truck or Bus driver	Passenger	Passenger Complaining about rash driving
general	General	Utensils seller	Customer	Availability of types of utensils
general	General	Utensils seller	Customer	Availability of good crockery sets
general	General	Utensils seller	Customer	Searching for large utensils
general	General	Utensils seller	Customer	Prices and discounts
general	General	Utensils seller	Customer	Complaining about the quality
general	General	Vegetable shop salesperson	Customer	Freshness of the vegetables
general	General	Vegetable shop salesperson	Customer	Organic or inorganic
general	General	Vegetable shop salesperson	Customer	Ordering a huge amount of vegetables for a wedding
general	General	Vegetable shop salesperson	Customer	Fluctuations in price
general	General	Vegetable shop salesperson	Customer	Availability of raw spices
general	General	Veterinarian	Pet owner	Seeking information about any previous medical conditons of the pet
general	General	Veterinarian	Pet owner	Inquiring about the living condtion of a dog
general	General	Veterinarian	Pet owner	Inquiring about vaccinations for your pet cat
general	General	Veterinarian	Pet owner	Visiting vet for monthly vaccination
general	General	Veterinarian	Pet owner	Complaining about dog not eating food
general	General	Veterinarian	Pet owner	Discussing a pet's health and treatment options
general	General	Waiter	Customer	Inquiring about vegan options available in the restaurant
general	General	Waiter	Customer	Inquiring about catering services for a party
general	General	Waiter	Customer	Complaining about the delay in serving ordered dishes
general	General	Waiter	Customer	Asking about the best dishes served
general	General	Waiter	Customer	Seeking permission for taking pictures of the different dishes
general	General	Waiter	Customer	Discussing a menu and ordering food
general	General	Water supplier	Customer	Complaining about the chemicals in water.
general	General	Water supplier	Customer	Complaining about the muddy water.
general	General	Water supplier	Customer	Cost per 1000 litre
general	General	Water supplier	Customer	Possibility of delivery.
general	General	Water supplier	Customer	Timing or regularity issues.
general	General	Wedding Planner	Bride	Discussing wedding details
general	General	Wine shop owner	Customer	Asking for availability of a certain liquor
general	General	Wine shop owner	Customer	Asking for age proof
general	General	Wine shop owner	Customer	Asking for local drinks recommendation
general	General	Wine shop owner	Customer	What is the reason for sudden price increase?
general	General	Wine shop owner	Customer	Bulk order
general	General	Writer	Book Club member	Discussing a book and its themes
general	General	Writer	Editor	Reviewing a writing project
general	General	Yoga instructor	Student	Inquiring about Yoga sessions for working women
general	General	Yoga instructor	Student	Seeking information regarding benefits of Yoga
general	General	Yoga instructor	Student	Inquiring about online Yoga sessions
general	General	Yoga instructor	Student	Discussing about possible adverse effects of Yoga
general	General	Yoga instructor	Student	Inquiring about Yoga sessions for kids
general	General	Zoo Keeper	Zoo visitor	Discussing animal care and conservation
general	General	Zoologist	Animal Lover	Discussing an animal species
general	General	Zookeeper	Visitor	Discussion about the visitor's interests and preferences for their tour, such as specific animal exhibits or educational experiences.
general	General	Zookeeper	Visitor	Discussion about the duration and schedule of the tour, and any flexibility for customizing the itinerary.
general	General	Zookeeper	Visitor	Discussion about the zookeeper's role and responsibilities, and any insights or stories they can share about the animals and their care.
general	General	Zookeeper	Visitor	Discussion about the zookeeper's recommendations for things to see and do at the zoo, and any insider tips or secrets they can share.
general	General	Zookeeper	Visitor	Discussion about the visitor's questions or concerns about the animals and their welfare, and how the zookeeper can address them.
general	General	Journalist	News Channel	Discussion about the journalist's pitch for a new story or feature.
general	General	Journalist	News Channel	Discussion about the journalist's research and sources for the story.
general	General	Journalist	News Channel	Discussion about the angle and focus of the story, and how it fits with the news channel's editorial guidelines.
general	General	Journalist	News Channel	Discussion about the timeline and deadlines for the story's development and production.
general	General	Journalist	News Channel	Discussion about the promotional and distribution plans for the story, and how it will be featured on the news channel's platforms.
general	General	Journalist	Social Worker	Discussion about the social worker's area of expertise and the issues they work on.
general	General	Journalist	Social Worker	Discussion about the social worker's experiences and insights working with clients and communities.
general	General	Journalist	Social Worker	Discussion about the social worker's goals and vision for creating positive change in society.
general	General	Journalist	Social Worker	Discussion about the social worker's current projects and initiatives, and how they can be highlighted in the media.
general	General	Journalist	Social Worker	Discussion about the social worker's availability for interviews and how the journalist can best communicate their message to the public.
general	General	Librarian	Reader	Discussion about the reader's interests and the types of books or materials they are looking for.
general	General	Librarian	Reader	Discussion about the library's resources and services, including online databases and e-books.
general	General	Librarian	Reader	Discussion about the process for borrowing and returning books or materials from the library.
general	General	Librarian	Reader	Discussion about any special requests or recommendations the reader may have, and how the librarian can assist in finding the perfect book or material.
general	General	Librarian	Reader	Discussion about any library programs or events the reader may be interested in, such as book clubs or author talks.
general	General	Mobile Shop Owner	Customer	Discussion about the types and models of mobile phones available for purchase.
general	General	Mobile Shop Owner	Customer	Discussion about the prices and any discounts or promotions currently being offered.
general	General	Mobile Shop Owner	Customer	Discussion about the options for mobile phone plans and services.
general	General	Mobile Shop Owner	Customer	Discussion about the process for repairing or servicing mobile phones.
general	General	Mobile Shop Owner	Customer	Discussion about any special requests or requirements the customer may have, such as specific brands or features, and how we can accommodate them.
general	General	Neighbour	Neighbour	Discussion about the schedule and duration of a planned construction project or home renovation.
general	General	Neighbour	Neighbour	Discussion about any noise or disruption that may be caused by the project, and how it can be minimized.
general	General	Neighbour	Neighbour	Discussion about any shared resources or amenities, such as driveways or fences, and how they can be used and maintained.
general	General	Neighbour	Neighbour	Discussion about any concerns or issues the neighbours may have about each other's behavior or property, and how they can address them in a respectful and constructive manner.
general	General	Neighbour	Neighbour	Discussion about any social or community events or initiatives the neighbours may be interested in participating in together.
general	General	NGO Head	Villager	Discussion about the NGO's mission and the types of projects and programs it is currently implementing in the village.
general	General	NGO Head	Villager	Discussion about the benefits and impact of the NGO's work on the community and its members.
general	General	NGO Head	Villager	Discussion about the involvement and participation of the villagers in the NGO's projects and programs.
general	General	NGO Head	Villager	Discussion about any challenges or issues the villagers are facing and how the NGO can support and address them.
general	General	NGO Head	Villager	Discussion about any suggestions or feedback the villagers may have for improving the NGO's work in the community.
general	General	Orchid Gardener	Customer	Discussing Market value of Orchid
general	General	Orchid Gardener	Customer	Discussion about the types and varieties of orchids available for purchase.
general	General	Orchid Gardener	Customer	Discussion about the prices and any discounts or promotions currently being offered.
general	General	Orchid Gardener	Customer	Discussion about the delivery options and schedule for the orchids.
general	General	Orchid Gardener	Customer	Discussion about the care and maintenance instructions for the orchids to ensure their health and longevity.
general	General	Orchid Gardener	Customer	Discussion about any special requests or requirements the customer may have, such as specific colors or sizes, and how we can accommodate them.
general	General	Paddy Seller	Buyer	Discussion about the types and quantities of paddy available for purchase.
general	General	Paddy Seller	Buyer	Discussion about the prices and any discounts or promotions currently being offered.
general	General	Paddy Seller	Buyer	Discussion about the delivery options and schedule for the paddy.
general	General	Paddy Seller	Buyer	Discussion about the storage and handling instructions for the paddy to ensure freshness and quality.
general	General	Paddy Seller	Buyer	Discussion about any special requests or requirements the buyer may have, such as specific grades or varieties, and how we can accommodate them.
general	General	Pharmacist	Customer	Discussion about the customer's prescription and the medications they need.
general	General	Pharmacist	Customer	Discussion about the proper dosage and frequency of the medications, and any potential interactions or side effects.
general	General	Pharmacist	Customer	Discussion about the availability and cost of the medications, and any insurance coverage or discounts that may apply.
general	General	Pharmacist	Customer	Discussion about any over-the-counter products or supplements the customer may be interested in, and how they can complement their treatment plan.
general	General	Pharmacist	Customer	Discussion about the proper storage and disposal of the medications, and any expiration dates or special handling instructions.
general	General	Police	Suspect	Discussion about the suspect's involvement in the alleged crime and the evidence against them.
general	General	Police	Suspect	Discussion about the suspect's rights and the legal process they will be going through.
general	General	Police	Suspect	Discussion about the suspect's potential defenses and any witnesses or information they may have to offer.
general	General	Police	Suspect	Discussion about the suspect's options for obtaining legal representation and assistance.
general	General	Police	Suspect	Discussion about the suspect's cooperation with the investigation and any potential plea agreements or sentencing recommendations.
general	General	Principal	Teacher	Discussion about the teacher's lesson plans and curriculum for the week or semester.
general	General	Principal	Teacher	Discussion about the teacher's progress and performance evaluations.
general	General	Principal	Teacher	Discussion about the teacher's professional development goals and opportunities for growth.
general	General	Principal	Teacher	Discussion about any issues or concerns the teacher may be facing in their classroom or with their students.
general	General	Principal	Teacher	Discussion about the school's policies and procedures, and how the teacher can best align their teaching practices with them.
general	General	Property Dealer	Customer	Discussion about the types and locations of properties available for purchase or rent.
general	General	Property Dealer	Customer	Discussion about the prices and any discounts or promotions currently being offered.
general	General	Property Dealer	Customer	Discussion about the terms and conditions of the sale or rental agreement.
general	General	Property Dealer	Customer	Discussion about the financing and mortgage options for the property.
general	General	Property Dealer	Customer	Discussion about any special requests or requirements the customer may have, such as specific features or amenities, and how we can accommodate them.
general	General	Real Estate Broker	Customer	Discussion about the customer's budget and the types of properties they are interested in purchasing or renting.
general	General	Real Estate Broker	Customer	Discussion about the customer's preferences and priorities in terms of location, size, and features of the property.
general	General	Real Estate Broker	Customer	Discussion about the availability and options for properties that match the customer's criteria.
general	General	Real Estate Broker	Customer	Discussion about the process for viewing and touring the properties, and any documents or paperwork required for the sale or rental.
general	General	Real Estate Broker	Customer	Discussion about the customer's timeline and goals for purchasing or renting a property, and how the real estate broker can assist them in achieving them.
general	General	Reporter	Ex-Serviceman	Reporter asking Ex-serviceman about his posting
general	General	Reporter	Ex-Serviceman	Discussion about the ex-serviceman's military service, including their rank, duties, and experiences.
general	General	Reporter	Ex-Serviceman	Discussion about the ex-serviceman's transition to civilian life and any challenges or opportunities they have faced.
general	General	Reporter	Ex-Serviceman	Discussion about the ex-serviceman's current work and personal goals, and how their military background has influenced or shaped them.
general	General	Reporter	Ex-Serviceman	Discussion about the ex-serviceman's involvement in any veterans' organizations or advocacy groups, and the issues and causes they support.
general	General	Reporter	Ex-Serviceman	Discussion about the ex-serviceman's perspective on current military or political events, and how they may impact the veteran community.
general	General	Sheep Husbandry	Customer	Discussion about the types and quantities of sheep available for purchase.
general	General	Sheep Husbandry	Customer	Discussion about the prices and any discounts or promotions currently being offered.
general	General	Sheep Husbandry	Customer	Discussion about the delivery options and schedule for the sheep.
general	General	Sheep Husbandry	Customer	Discussion about the care and feeding instructions for the sheep to ensure their health and growth.
general	General	Sheep Husbandry	Customer	Discussion about any special requests or requirements the customer may have, such as specific breeds or ages, and how we can accommodate them.
general	General	Shoeseller	Customer	Discussion about the types and styles of shoes available for purchase.
general	General	Shoeseller	Customer	Discussion about the prices and any discounts or promotions currently being offered.
general	General	Shoeseller	Customer	Discussion about the sizes and fit of the shoes, and any options for customization or special orders.
general	General	Shoeseller	Customer	Discussion about the care and maintenance of the shoes, and any warranty or return policies.
general	General	Shoeseller	Customer	Discussion about any special requests or requirements the customer may have, such as specific brands or features, and how we can accommodate them.
general	General	Sister	Sister	Talking about death of their grandmother
general	General	Sister	Sister	Discussion about the sisters' plans and activities for the day or weekend.
general	General	Sister	Sister	Discussion about the sisters' recent experiences and achievements.
general	General	Sister	Sister	Discussion about the sisters' goals and aspirations for the future.
general	General	Sister	Sister	Discussion about any issues or concerns the sisters may be facing, and how they can support and help each other.
general	General	Sister	Sister	Discussion about any special occasions or events coming up that the sisters need to prepare for or celebrate.
general	General	Stationary Dealer	Customer	Discussion about the types and quantities of stationary items available for purchase.
general	General	Stationary Dealer	Customer	Discussion about the prices and any discounts or promotions currently being offered.
general	General	Stationary Dealer	Customer	Discussion about the options for customization or personalization of the stationary items, such as adding names or logos.
general	General	Stationary Dealer	Customer	Discussion about the delivery options and schedule for the stationary items.
general	General	Stationary Dealer	Customer	Discussion about any special requests or requirements the customer may have, such as specific colors or designs, and how we can accommodate them.
general	General	Student	School Administration	Discussion about the student's academic performance and progress.
general	General	Student	School Administration	Discussion about the student's attendance and behavior.
general	General	Student	School Administration	Discussion about the student's extracurricular activities and involvement in school programs.
general	General	Student	School Administration	Discussion about the student's career and educational goals, and how the school can support and prepare them for them.
general	General	Student	School Administration	Discussion about any issues or concerns the student may be facing, such as personal or family problems, and how the school can provide assistance and resources.
general	General	Teacher	Student	Discussion about the student's academic performance and progress.
general	General	Teacher	Student	Discussion about the student's attendance and behavior.
general	General	Teacher	Student	Discussion about the student's strengths and areas for improvement, and how they can work on them.
general	General	Teacher	Student	Discussion about the student's goals and aspirations, and how the teacher can support and motivate them.
general	General	Teacher	Student	Discussion about any issues or concerns the student may be facing, such as difficulties with coursework or personal problems, and how the teacher can provide assistance and resources.
general	General	Teacher	Peon	Discussion about the peon's responsibilities and duties at the school.
general	General	Teacher	Peon	Discussion about the peon's schedule and availability for tasks or errands.
general	General	Teacher	Peon	Discussion about any issues or problems the peon may be facing in carrying out their duties, and how the teacher can assist or support them.
general	General	Teacher	Peon	Discussion about any requests or needs the peon may have, such as additional supplies or equipment, and how the teacher can facilitate them.
general	General	Teacher	Peon	Discussion about any feedback or suggestions the peon may have for improving the functioning or atmosphere of the school, and how the teacher can consider or act on them.
general	General	Teacher	Teacher	Discussion about the teachers' plans and activities for the day or week.
general	General	Teacher	Teacher	Discussion about the teachers' recent experiences and achievements in their classrooms or school.
general	General	Teacher	Teacher	Discussion about the teachers' goals and aspirations for the future, both personally and professionally.
general	General	Teacher	Teacher	Discussion about any issues or concerns the teachers may be facing, such as challenges with students or school policies, and how they can support and help each other.
general	General	Teacher	Teacher	Discussion about any special occasions or events coming up that the teachers need to prepare for or celebrate.
general	General	Tourist	Guide	Discussion about the tourist's interests and preferences for the tour, such as specific landmarks or cultural experiences.
general	General	Tourist	Guide	Discussion about the duration and schedule of the tour, and any flexibility for customizing the itinerary.
general	General	Tourist	Guide	Discussion about the modes of transportation and accommodation for the tour, and any options for upgrading or changing them.
general	General	Tourist	Guide	Discussion about the cost and payment details for the tour, and any discounts or promotions being offered.
general	General	Tourist	Guide	Discussion about any special requests or requirements the tourist may have, such as dietary restrictions or accessibility needs, and how the guide can accommodate them.
general	General	Tourist	Trip Agent	Discussion about the tourist's interests and preferences for the trip, such as specific destinations or types of activities.
general	General	Tourist	Trip Agent	Discussion about the duration and schedule of the trip, and any flexibility for customizing the itinerary.
general	General	Tourist	Trip Agent	Discussion about the modes of transportation and accommodation for the trip, and any options for upgrading or changing them.
general	General	Tourist	Trip Agent	Discussion about the cost and payment details for the trip, and any discounts or promotions being offered.
general	General	Tourist	Trip Agent	Discussion about any special requests or requirements the tourist may have, such as dietary restrictions or accessibility needs, and how the trip agent can accommodate them.
general	General	Tourist	Local Resident	Discussion about the tourist's interests and preferences for their visit, such as specific landmarks or cultural experiences.
general	General	Tourist	Local Resident	Discussion about the tourist's schedule and plans for their visit, and any flexibility for customizing their itinerary.
general	General	Tourist	Local Resident	Discussion about the local resident's recommendations for things to see and do in the area, and any insider tips or secrets they can share.
general	General	Tourist	Local Resident	Discussion about the local culture and traditions, and any opportunities for the tourist to participate in or learn about them.
general	General	Tourist	Local Resident	Discussion about the local resident's experience living in the area, and any insights or perspectives they can offer on the community and its history.
general	General	Travel Agency	Tourist	Discussion about the tourist's interests and preferences for their trip, such as specific destinations or types of activities.
general	General	Travel Agency	Tourist	Discussion about the duration and schedule of the trip, and any flexibility for customizing the itinerary.
general	General	Travel Agency	Tourist	Discussion about the modes of transportation and accommodation for the trip, and any options for upgrading or changing them.
general	General	Travel Agency	Tourist	Discussion about the cost and payment details for the trip, and any discounts or promotions being offered.
general	General	Travel Agency	Tourist	Discussion about any special requests or requirements the tourist may have, such as dietary restrictions or accessibility needs, and how the travel agency can accommodate them.
general	General	Husband	Wife	Discussion about the couple's plans for the day or week.
general	General	Husband	Wife	Discussion about any household tasks or responsibilities that need to be taken care of.
general	General	Husband	Wife	Discussion about any issues or concerns the couple may be facing in their relationship or personal lives, and how they can support and communicate with each other.
general	General	Husband	Wife	Discussion about the couple's goals and aspirations for the future, both individually and as a couple.
general	General	Husband	Wife	Discussion about the couple's social and leisure activities, and how they can enjoy quality time together.
general	General	Hotel Manager	Customer	Discussion about the student's housing contract and the terms of their stay at the hostel.
general	General	Hotel Manager	Customer	Discussion about the student's room assignment and any requests or preferences they may have.
general	General	Hotel Manager	Customer	Discussion about the student's payment and billing for their stay at the hostel.
general	General	Hotel Manager	Customer	Discussion about the rules and regulations of the hostel, including quiet hours and guest policies.
general	General	Hotel Manager	Customer	Discussion about any maintenance or repair issues the student may be experiencing in their room, and how they can be addressed.
general	General	Hospital Authority	Patient	Discussion about the patient's medical history and current health concerns.
general	General	Hospital Authority	Patient	Discussion about the patient's treatment options and the potential risks and benefits of each option.
general	General	Hospital Authority	Patient	Discussion about the patient's insurance coverage and any out-of-pocket costs for treatment.
general	General	Hospital Authority	Patient	Discussion about the patient's discharge and follow-up care plan, including any medication or therapy recommendations.
general	General	Hospital Authority	Patient	Discussion about the patient's rights and responsibilities as a hospital patient, including privacy and confidentiality.
general	General	Gym Trainer	Newcomer	Discussion about the newcomer's goals and expectations for their fitness journey.
general	General	Gym Trainer	Newcomer	Discussion about the newcomer's current fitness level and any injuries or limitations to consider.
general	General	Gym Trainer	Newcomer	Discussion about the type of training program and schedule that would be most suitable for the newcomer.
general	General	Gym Trainer	Newcomer	Discussion about the gym's equipment and facilities, and how they can be utilized in the training program.
general	General	Gym Trainer	Newcomer	Discussion about the nutrition and hydration recommendations for optimal results in the training program.
general	General	Flower Nursery Owner	Customer	Discussion about the types and quantities of flowers and plants available for purchase.
general	General	Flower Nursery Owner	Customer	Discussion about the prices and any discounts or promotions currently being offered.
general	General	Flower Nursery Owner	Customer	Discussion about the delivery options and schedule for the flowers and plants.
general	General	Flower Nursery Owner	Customer	Discussion about the care and maintenance instructions for the flowers and plants to ensure their health and longevity.
general	General	Flower Nursery Owner	Customer	Discussion about any special requests or requirements the customer may have, such as specific colors or varieties, and how we can accommodate them.
general	General	Father	Daughter	Father conversing with her far away daughter
general	General	Father	Daughter	Discussion about the daughter's day at school or work.
general	General	Father	Daughter	Discussion about the daughter's plans and activities for the weekend.
general	General	Father	Daughter	Discussion about the daughter's goals and aspirations for the future.
general	General	Father	Daughter	Discussion about any challenges or problems the daughter is facing and how the father can support and guide her.
general	General	Father	Daughter	Discussion about the daughter's relationships and social life, and how the father can offer advice and encouragement.
general	General	Electrician	Household Owner	Discussion about the electrical issues or problems the household owner is experiencing.
general	General	Electrician	Household Owner	Discussion about the scope of the electrical work needed and the estimated cost and timeline for the project.
general	General	Electrician	Household Owner	Discussion about the materials and equipment needed for the electrical work.
general	General	Electrician	Household Owner	Discussion about any potential hazards or risks associated with the electrical work, and how they will be addressed.
general	General	Electrician	Household Owner	Discussion about the maintenance and safety recommendations for the household's electrical system.
general	General	Dairy Owner	Customer	Discussion about the types and quantities of dairy products available for purchase.
general	General	Dairy Owner	Customer	Discussion about the prices and any discounts or promotions currently being offered.
general	General	Dairy Owner	Customer	Discussion about the delivery options and schedule for the dairy products.
general	General	Dairy Owner	Customer	Discussion about the storage and handling instructions for the dairy products to ensure freshness and quality.
general	General	Dairy Owner	Customer	Discussion about any special requests or requirements the customer may have, such as specific brands or flavors, and how we can accommodate them.
general	General	Bookseller	Customer	Discussion about the types of books and genres available at the bookshop.
general	General	Bookseller	Customer	Discussion about the prices and any discounts or promotions currently being offered.
general	General	Bookseller	Customer	Discussion about the options for ordering books that are not currently in stock.
general	General	Bookseller	Customer	Discussion about the process for returning or exchanging books.
general	General	Bookseller	Customer	Discussion about any special requests or recommendations the customer may have, and how the bookseller can assist in finding the perfect book.
general	General	Black Smith	Customer	Discussion about the types of metalwork and tools the blacksmith specializes in creating.
general	General	Black Smith	Customer	Discussion about the materials and finishes available for the metalwork and tools.
general	General	Black Smith	Customer	Discussion about the process of creating custom pieces, including design consultations and estimates.
general	General	Black Smith	Customer	Discussion about the timeline and delivery options for the metalwork and tools.
general	General	Black Smith	Customer	Discussion about the maintenance and care instructions for the metalwork and tools.
general	General	Artisan	Customer	Discussion about the artisan's craft and the process of creating their products.
general	General	Artisan	Customer	Discussion about the materials and techniques used in the artisan's craft.
general	General	Artisan	Customer	Discussion about the availability and pricing of the artisan's products.
general	General	Artisan	Customer	Discussion about the options for custom orders and special requests.
general	General	Artisan	Customer	Discussion about the delivery and shipping options for the artisan's products.
general	General	Administration	Employee	Discussion about the employee's job responsibilities and performance.
general	General	Administration	Employee	Discussion about the employee's goals and career development within the organization.
general	General	Administration	Employee	Discussion about any challenges or issues the employee is facing in their role, and how the administration can support them.
general	General	Administration	Employee	Discussion about the employee's work schedule and time off requests.
general	General	Administration	Employee	Discussion about the employee's benefits and compensation, including salary and perks.
general	General	Friend	Friend	Talking about FIFA
general	General	Friend	Friend	Organising a picnic
general	General	Friend	Friend	Talking about Astrology
general	General	Friend	Friend	Talking about their third friends sucess
general	General	Friend	Friend	Batchmate conversations
general	General	Friend	Friend	Discussion about plans for the weekend.
general	General	Friend	Friend	Discussion about the latest news or events in each other's lives.
general	General	Friend	Friend	Discussion about mutual interests or hobbies.
general	General	Friend	Friend	Discussion about any challenges or problems each friend is facing and how they can support each other.
general	General	Friend	Friend	Discussion about future goals and plans, and how each friend can help each other achieve them.
general	General	PHE Department Official	Customer	Complaining regarding his water connection.
general	General	PHE Department Official	Customer	Discussion about the availability and schedule for water supply in the area.
general	General	PHE Department Official	Customer	Discussion about the quality and safety of the water being supplied.
general	General	PHE Department Official	Customer	Discussion about the process for reporting and addressing any issues or disruptions with the water supply.
general	General	PHE Department Official	Customer	Discussion about the billing and payment process for water usage.
general	General	PHE Department Official	Customer	Discussion about any conservation or water management efforts being implemented in the area and how customers can participate.
general	General	Civil Engineer	Client	Discussion about the scope and objectives of the engineering project.
general	General	Civil Engineer	Client	Discussion about the timeline and budget for the project.
general	General	Civil Engineer	Client	Discussion about the resources and materials needed for the project.
general	General	Civil Engineer	Client	Discussion about the potential challenges and risks of the project, and how they can be mitigated.
general	General	Civil Engineer	Client	Discussion about the communication and reporting processes for the project, and how progress will be tracked and reviewed.
general	General	Chicken Farm Owner	Customer	Discussion about the types and quantities of chickens available for purchase.
general	General	Chicken Farm Owner	Customer	Discussion about the prices and any discounts or promotions currently being offered.
general	General	Chicken Farm Owner	Customer	Discussion about the delivery options and schedule for the chickens.
general	General	Chicken Farm Owner	Customer	Discussion about the care and feeding instructions for the chickens to ensure their health and well-being.
general	General	Chicken Farm Owner	Customer	Discussion about any special requests or requirements the customer may have, such as specific breeds or ages, and how we can accommodate them.
general	General	Chicken Farm Owner	Customer	Discussion about the pickup or delivery options for the baked goods.
general	General	Cement Seller	Customer	Discussion about the types and quantities of cement available for purchase.
general	General	Cement Seller	Customer	Discussion about the prices and any discounts or promotions currently being offered.
general	General	Cement Seller	Customer	Discussion about the delivery options and schedule for the cement.
general	General	Cement Seller	Customer	Discussion about the storage and handling instructions for the cement to ensure quality.
general	General	Cement Seller	Customer	Discussion about any special requests or requirements the customer may have, such as specific brands or mix ratios, and how we can accommodate them.
general	General	Carpenter	Customer	Discussion about the types of furniture and home decor items the carpenter specializes in creating.
general	General	Carpenter	Customer	Discussion about the materials and finishes available for the furniture and home decor items.
general	General	Carpenter	Customer	Discussion about the process of creating custom pieces, including design consultations and estimates.
general	General	Carpenter	Customer	Discussion about the timeline and delivery options for the furniture and home decor items.
general	General	Carpenter	Customer	Discussion about the maintenance and care instructions for the furniture and home decor items.
general	General	Baker	Customer	Asking about cake order
general	General	Baker	Customer	Discussion about the types of baked goods and desserts available today.
